date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:25	17913/17913	U--MC-	200	updated ('OK')	text/html	date:Thu,%2022%20Apr%202021%2018:05:24%20GMT	http://psykologisk-center.dk/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/index-2.html	(from )
20:05:26	2520/2520	U-----	200	untouched ('OK')	text/css	etag:%229d8-5559e3da826cd-gzip%22	http://psykologisk-center.dk/wordpress/wp-content/themes/psykc/style.css	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-content/themes/psykc/style.css	(from http://psykologisk-center.dk/)
20:05:26	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2022%20Apr%202021%2018:05:25%20GMT	http://psykologisk-center.dk/favicon.ico	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/favicon.ico	(from http://psykologisk-center.dk/)
20:05:26	747/747	U-----	200	untouched ('')	application/rss+xml	etag:%227ec4198b1d91b756e183bc4f84610fa8-gzip%22	http://psykologisk-center.dk/generel-information/feed/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/generel-information/feed/index.html	(from http://psykologisk-center.dk/)
20:05:26	58171/58171	U-----	200	untouched ('OK')	text/css	etag:%22e33b-5c09032cf9854-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.7.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/css/dist/block-library/style.mina78f.css	(from http://psykologisk-center.dk/)
20:05:26	89496/89496	U-----	200	untouched ('')	application/javascript	etag:%2215d98-5c09032dc33d1-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/jquery/jquery.min9d52.js	(from http://psykologisk-center.dk/)
20:05:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Apr%202021%2018:05:25%20GMT	http://s.w.org/	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/index-3.html	(from http://psykologisk-center.dk/)
20:05:26	11224/11224	U-----	200	untouched ('')	application/javascript	etag:%222bd8-5c09032dc04e7-gzip%22	http://psykologisk-center.dk/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://psykologisk-center.dk/)
20:05:27	1045/1045	U-----	200	untouched ('')	application/xml	etag:%22415-4ed4785da9bc0%22	http://psykologisk-center.dk/wordpress/wp-includes/wlwmanifest.xml	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/wp-includes/wlwmanifest.xml	(from http://psykologisk-center.dk/)
20:05:28	4778/4778	U--MC-	200	updated ('OK')	application/json	date:Thu,%2022%20Apr%202021%2018:05:26%20GMT	http://psykologisk-center.dk/wp-json/wp/v2/pages/6	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/wp/v2/pages/6	(from http://psykologisk-center.dk/)
20:05:28	874/874	U--MC-	200	updated ('OK')	text/xml	date:Thu,%2022%20Apr%202021%2018:05:27%20GMT	http://psykologisk-center.dk/wordpress/xmlrpc.php?rsd	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wordpress/xmlrpc0db0.php	(from http://psykologisk-center.dk/)
20:05:28	2415/2415	U-----	200	untouched ('')	text/xml	date:Thu,%2022%20Apr%202021%2014:53:25%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2F&format=xml	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embed2bff	(from http://psykologisk-center.dk/)
20:05:28	2321/2321	U-----	200	untouched ('')	application/json	date:Thu,%2022%20Apr%202021%2014:53:24%20GMT	http://psykologisk-center.dk/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpsykologisk-center.dk%2F	C:/Users/ungar/Desktop/psykc-static/psykologiskcenter/wp-json/oembed/1.0/embede779	(from http://psykologisk-center.dk/)
